Age,Income,Monthly_Expenses,Existing_Investments,Financial_Goals,Risk_Tolerance,Family_Size,Debt_Obligations,Hobbies_Interests,Investment_Preferences
51,107789,1332,67289,Retirement,High,2,38510,Gaming,Bonds
53,73014,3017,152118,Buying a House,High,2,17382,Sports,Real Estate
47,45082,2444,8653,Buying a House,Medium,1,18283,Gaming,Real Estate
50,92642,3927,147178,Education,Low,1,24432,Travel,Real Estate
27,50384,4280,92938,Buying a House,Medium,4,19951,Reading,Mutual Funds
58,69793,4344,167014,Education,Low,4,14062,Travel,Mutual Funds
45,59604,5581,99942,Education,Low,3,7433,Gaming,Mutual Funds
53,63790,6240,63896,Education,High,4,21685,Cooking,Real Estate
22,93745,5451,115404,Buying a House,Medium,1,23788,Travel,Bonds
69,105426,3158,98480,Education,High,1,26953,Cooking,Real Estate
31,49512,2826,59457,Education,High,1,39127,Travel,Stocks
20,87521,4004,210917,Retirement,Low,2,-1737,Cooking,Bonds
63,60344,4639,51445,Education,High,2,19322,Travel,Mutual Funds
24,60966,3725,-12147,Education,Medium,4,31917,Cooking,ETFs
49,84812,1981,179084,Retirement,High,3,18754,Reading,Bonds
49,54441,5023,70821,Retirement,High,3,-3381,Sports,Mutual Funds
36,84412,3411,85161,Buying a House,Low,3,7089,Travel,Bonds
67,89602,3366,82104,Education,Medium,2,23285,Reading,Bonds
66,66349,3918,71517,Buying a House,High,1,22921,Sports,Real Estate
42,101541,3640,61690,Buying a House,Low,1,26725,Travel,Stocks
34,49543,3450,50159,Retirement,High,2,12189,Reading,ETFs
56,101908,2079,103237,Buying a House,Medium,3,22598,Reading,Mutual Funds
40,36120,3831,79900,Education,High,3,10541,Reading,Bonds
33,128994,5054,136518,Retirement,High,4,22599,Gaming,ETFs
21,66875,4396,124134,Education,Low,4,20532,Cooking,Bonds
30,51753,5422,53624,Education,High,3,11791,Sports,Stocks
58,70346,2907,105426,Retirement,Low,2,35581,Cooking,ETFs
57,54070,2082,79108,Education,Medium,3,2943,Cooking,Mutual Funds
53,82739,3631,50416,Retirement,High,4,18583,Cooking,Bonds
57,102353,3078,134471,Education,Medium,3,11570,Reading,Stocks
69,55130,3234,93933,Retirement,Medium,2,38342,Cooking,ETFs
53,86587,4317,79622,Buying a House,High,1,25983,Gaming,Bonds
37,44345,3245,57221,Education,Low,2,13506,Travel,Bonds
49,95659,2124,48603,Retirement,Medium,2,17202,Reading,Mutual Funds
34,83324,3161,199438,Education,Medium,4,38612,Sports,Stocks
46,96523,4510,116705,Education,High,2,10537,Travel,Real Estate
53,72553,5007,45443,Education,High,2,2355,Travel,Bonds
57,66296,4992,114393,Retirement,High,4,22910,Travel,ETFs
52,91322,4636,153100,Buying a House,High,4,23136,Cooking,Mutual Funds
43,48839,3747,108375,Buying a House,High,1,26660,Cooking,Mutual Funds
34,40143,4607,168701,Buying a House,High,3,26726,Reading,Bonds
49,74900,3936,22859,Retirement,Low,2,37707,Cooking,Bonds
61,67208,4169,433,Buying a House,Medium,4,2818,Cooking,Bonds
36,86076,2591,113025,Retirement,Low,1,7971,Cooking,Real Estate
24,96831,4065,113824,Education,Low,3,26622,Reading,Bonds
48,85660,4567,-66975,Education,High,4,8943,Reading,Stocks
23,95238,4511,68821,Buying a House,Medium,3,5434,Gaming,ETFs
29,81421,2068,49566,Retirement,Low,3,38658,Gaming,Bonds
36,84891,4144,30402,Education,High,2,3800,Gaming,Real Estate
29,72666,1834,49447,Retirement,High,2,16487,Gaming,ETFs
36,84300,4260,129789,Retirement,Medium,4,19406,Travel,Mutual Funds
39,78333,2947,49129,Education,Low,3,33091,Travel,Bonds
43,81503,6558,50843,Retirement,Low,4,1311,Gaming,ETFs
24,71665,4178,19059,Education,Low,4,24154,Gaming,Mutual Funds
53,91178,5201,163445,Education,High,3,11096,Sports,Real Estate
25,60790,7166,121731,Education,Medium,4,26276,Travel,Stocks
21,74633,2773,-24617,Retirement,Medium,3,10931,Sports,Bonds
32,101235,4653,50887,Education,Low,3,35723,Sports,Stocks
62,56025,2221,126425,Retirement,High,3,10990,Cooking,Real Estate
62,31763,4517,164069,Education,Low,3,-4619,Reading,ETFs
67,82329,6648,142041,Education,Medium,1,12111,Travel,ETFs
30,69860,3058,82215,Buying a House,High,3,17386,Gaming,Real Estate
66,95217,2671,3431,Buying a House,Low,2,30823,Gaming,Real Estate
42,72389,3863,143512,Buying a House,Low,2,7415,Reading,Bonds
35,62913,7068,85155,Retirement,High,2,7613,Travel,Mutual Funds
50,73483,5156,103443,Retirement,Medium,3,29605,Gaming,Stocks
30,96861,2642,91128,Education,High,2,6247,Gaming,Stocks
35,86507,6182,32223,Education,Low,1,18210,Cooking,ETFs
27,26321,1517,118212,Education,Low,4,18413,Sports,ETFs
23,78715,7204,111322,Education,Low,3,22175,Gaming,Bonds
59,79715,5284,78710,Retirement,Low,2,12501,Travel,Real Estate
23,74635,6645,123555,Education,Medium,1,10730,Reading,Stocks
44,62782,1528,31300,Education,Medium,4,23348,Cooking,Bonds
22,98890,4254,86549,Buying a House,Low,1,11040,Travel,ETFs
51,99880,3799,101306,Education,Medium,2,6400,Cooking,ETFs
22,30936,2489,13253,Education,Medium,1,32277,Sports,Stocks
46,59040,2055,97145,Education,Medium,4,24880,Gaming,ETFs
48,72105,4760,136682,Retirement,Low,2,37675,Travel,ETFs
51,93970,4896,84838,Buying a House,High,4,27839,Reading,Mutual Funds
69,75697,5949,98294,Education,High,1,7318,Sports,Real Estate
38,61328,3244,128117,Education,High,3,20963,Sports,ETFs
40,89190,3787,80609,Buying a House,Low,3,9843,Cooking,Mutual Funds
24,70773,1926,85110,Education,Medium,3,3483,Sports,Bonds
37,72651,6311,41164,Retirement,Medium,3,15528,Travel,ETFs
47,74456,4104,99253,Education,Low,4,29815,Cooking,Bonds
61,86486,5083,83257,Retirement,Low,3,22749,Sports,ETFs
41,68829,5136,124954,Retirement,High,4,6091,Reading,Stocks
40,88738,6188,128172,Education,High,2,15176,Travel,Mutual Funds
25,73538,2752,139560,Buying a House,Low,3,18571,Reading,Mutual Funds
20,53659,5046,74586,Retirement,High,4,3108,Reading,Stocks
24,74264,3962,-8829,Buying a House,Medium,3,27131,Cooking,Real Estate
60,54695,7158,137081,Education,Low,3,17712,Gaming,Mutual Funds
31,75819,2748,121556,Retirement,Low,3,6094,Cooking,Bonds
45,91589,5757,68235,Education,Medium,4,5528,Travel,Mutual Funds
65,53527,4525,127747,Buying a House,Medium,1,31006,Travel,Real Estate
53,82285,4446,27570,Education,Medium,3,16191,Cooking,Bonds
68,58419,4081,151512,Education,High,3,31903,Gaming,Bonds
33,79034,6019,83318,Retirement,Low,2,35721,Cooking,Stocks
45,92204,4395,58553,Education,High,1,30224,Travel,ETFs
64,32409,1713,68914,Education,Medium,4,14665,Gaming,Stocks
46,52710,5829,88425,Education,High,2,-4978,Travel,ETFs
28,67620,5554,99399,Retirement,Medium,3,23129,Gaming,Stocks
45,81300,4880,102414,Buying a House,High,2,40915,Gaming,ETFs
66,71672,2307,78519,Buying a House,High,2,19646,Cooking,Mutual Funds
41,74082,2540,110011,Education,Medium,3,101,Cooking,Bonds
66,115859,1183,100413,Retirement,High,1,13251,Cooking,ETFs
49,50750,4690,67621,Education,Low,1,18162,Gaming,Mutual Funds
62,97709,1975,60090,Buying a House,High,2,9020,Gaming,Real Estate
67,68000,1421,130418,Retirement,High,3,-5639,Travel,Stocks
36,85989,5912,126216,Buying a House,Low,4,19021,Reading,Real Estate
45,117578,5152,102856,Buying a House,Medium,2,12151,Cooking,Mutual Funds
55,88773,3500,146209,Retirement,Low,4,37726,Travel,Real Estate
20,82449,3798,1933,Retirement,High,2,21010,Travel,Real Estate
27,106982,388,71780,Education,Medium,2,24695,Sports,Mutual Funds
68,97495,5375,42184,Education,High,3,18809,Cooking,Bonds
54,59012,2960,212813,Buying a House,High,3,20937,Travel,ETFs
34,80890,4495,135660,Retirement,Low,4,3477,Sports,Stocks
66,40650,267,96046,Retirement,Low,4,9598,Cooking,ETFs
41,64196,5466,139249,Education,Medium,1,30886,Gaming,Stocks
33,81281,2870,155813,Buying a House,Medium,3,22094,Sports,ETFs
45,62957,1935,155281,Buying a House,Medium,2,16014,Gaming,Real Estate
47,80467,3490,146085,Education,High,2,24861,Reading,Bonds
42,74732,3105,86872,Retirement,Low,1,25058,Reading,Real Estate
33,85728,5611,74931,Education,Low,3,39908,Reading,Bonds
43,66516,3369,51890,Education,Low,2,21630,Reading,Mutual Funds
21,56197,6043,125122,Education,Medium,1,9374,Travel,Stocks
64,104562,4495,92053,Education,Low,1,18843,Reading,Stocks
45,65086,5341,79076,Retirement,Low,2,26075,Travel,Mutual Funds
33,88200,3996,76466,Education,Low,2,29956,Travel,ETFs
26,103704,5908,172509,Retirement,Medium,4,3849,Cooking,Mutual Funds
22,78253,2269,147634,Education,Low,3,22537,Travel,Mutual Funds
66,57873,4170,191519,Buying a House,Medium,4,11027,Travel,Bonds
42,71427,3405,126450,Retirement,Low,1,14333,Reading,Mutual Funds
65,95350,6094,102847,Buying a House,Low,2,28458,Travel,Stocks
62,79124,6248,98729,Education,Low,4,27462,Gaming,Real Estate
66,50897,4000,48984,Education,Medium,1,13218,Reading,Bonds
64,86932,2062,36929,Education,Medium,3,18421,Sports,Bonds
37,90390,4640,125367,Retirement,Low,2,14639,Reading,ETFs
57,67893,1503,53266,Buying a House,High,4,48917,Travel,Real Estate
54,87204,6439,110572,Retirement,Medium,3,22783,Gaming,Bonds
34,79900,3290,155773,Retirement,Medium,4,11605,Reading,Mutual Funds
44,71051,3954,66727,Education,Low,1,33221,Gaming,Bonds
56,49129,2978,200524,Buying a House,High,3,33574,Sports,Bonds
47,96559,2647,50465,Education,Low,4,37916,Sports,Bonds
29,90184,5105,149509,Retirement,Medium,3,40879,Cooking,ETFs
58,86677,3762,121237,Education,Medium,1,27077,Cooking,Bonds
36,105890,4063,159704,Buying a House,Low,3,16501,Reading,Bonds
58,93903,2494,44190,Education,Low,4,17973,Cooking,ETFs
41,88731,5284,215351,Buying a House,High,1,17079,Gaming,Real Estate
45,30735,5436,91061,Buying a House,High,2,15962,Cooking,Stocks
63,98937,3686,133832,Education,Medium,4,32399,Gaming,ETFs
44,76661,5901,172224,Retirement,High,4,20007,Cooking,ETFs
36,81249,3843,69766,Education,High,1,29714,Cooking,Bonds
32,81386,5169,141286,Retirement,Medium,1,26765,Cooking,Bonds
39,90476,1565,61426,Retirement,Medium,2,9013,Travel,Stocks
44,97443,4530,169848,Education,Medium,4,2828,Travel,Bonds
23,87684,3592,61990,Retirement,Medium,1,7633,Cooking,Mutual Funds
29,84505,4233,101925,Retirement,Low,2,15732,Gaming,Bonds
22,79630,4166,115306,Education,Medium,2,21343,Reading,Bonds
60,7967,4188,139214,Education,Medium,1,13516,Sports,Mutual Funds
64,69248,4923,198423,Education,Medium,4,27030,Travel,Stocks
37,56168,3152,77401,Retirement,High,3,14723,Cooking,Mutual Funds
66,99214,4853,156936,Buying a House,Medium,3,22569,Sports,ETFs
55,87380,5848,198512,Retirement,Low,2,21175,Travel,Mutual Funds
66,65837,1884,108286,Buying a House,Low,3,37344,Reading,Real Estate
41,67845,2829,72493,Education,Medium,3,10247,Gaming,ETFs
53,67120,2892,13498,Buying a House,Low,1,42084,Cooking,Bonds
66,66763,2361,194163,Education,High,2,14056,Reading,ETFs
27,46108,3287,87777,Education,Medium,4,6599,Travel,Stocks
59,41774,5549,49932,Buying a House,Low,2,17830,Cooking,Stocks
68,75580,6171,32083,Education,Low,1,52401,Sports,Mutual Funds
63,96506,4159,49839,Buying a House,Medium,3,28952,Gaming,ETFs
38,64246,3513,145985,Education,Low,4,26029,Travel,Bonds
61,81068,5204,152893,Retirement,Medium,2,27951,Gaming,Stocks
60,89685,454,132606,Retirement,Low,3,12304,Cooking,Bonds
56,55132,2417,106616,Education,High,2,23260,Reading,Real Estate
25,74600,517,37723,Education,Low,4,20025,Gaming,Stocks
45,61669,2401,63502,Buying a House,Low,2,38090,Sports,Mutual Funds
53,107122,2849,44669,Retirement,Medium,2,18913,Travel,Real Estate
64,106249,6216,128641,Buying a House,Low,2,16217,Sports,ETFs
25,55153,-141,46834,Education,Medium,3,8352,Gaming,Bonds
56,82717,3374,64287,Education,High,4,21400,Reading,Stocks
